,name,link,image,price
65, Polo Ralph Lauren Men's Short-Sleeve Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-short-sleeve-oxford-shirt?ID=2990310&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D25,https://www.macys.com/shop/product/polo-ralph-lauren-mens-short-sleeve-oxford-shirt?ID=2990310&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D25,$85.00
66, Polo Ralph Lauren Men's Checked Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-checked-oxford-shirt?ID=2863310&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D26,https://www.macys.com/shop/product/polo-ralph-lauren-mens-checked-oxford-shirt?ID=2863310&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D26,$89.50
67, Polo Ralph Lauren Men's Classic Fit Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-classic-fit-oxford-shirt?ID=5182049&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D27,https://www.macys.com/shop/product/polo-ralph-lauren-mens-classic-fit-oxford-shirt?ID=5182049&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D27,$89.50
68, O'Neill Men's Banks Slim-Fit Stretch Oxford Pocket Shirt ,https://www.macys.com/shop/product/oneill-mens-banks-slim-fit-stretch-oxford-pocket-shirt?ID=5524335&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D28,https://www.macys.com/shop/product/oneill-mens-banks-slim-fit-stretch-oxford-pocket-shirt?ID=5524335&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D28,$45.00
69, Polo Ralph Lauren Men's Slim-Fit Stretch Oxford Shirt,https://www.macys.com/shop/product/polo-ralph-lauren-mens-slim-fit-stretch-oxford-shirt?ID=5182039&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D29,https://www.macys.com/shop/product/polo-ralph-lauren-mens-slim-fit-stretch-oxford-shirt?ID=5182039&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D29,$89.50
70, Barbour Men's Henry Navy Tattersall Check Oxford Shirt  ,https://www.macys.com/shop/product/barbour-mens-henry-navy-tattersall-check-oxford-shirt?ID=5774779&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D34,https://www.macys.com/shop/product/barbour-mens-henry-navy-tattersall-check-oxford-shirt?ID=5774779&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D34,$99.00
71, Barbour Men's Jeff Light Blue Plaid Oxford Shirt  ,https://www.macys.com/shop/product/barbour-mens-jeff-light-blue-plaid-oxford-shirt?ID=5774785&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D35,https://www.macys.com/shop/product/barbour-mens-jeff-light-blue-plaid-oxford-shirt?ID=5774785&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D35,$99.00
72, Barbour Men's Henry White Tattersall Check Oxford Shirt,https://www.macys.com/shop/product/barbour-mens-henry-white-tattersall-check-oxford-shirt?ID=5774782&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D36,https://www.macys.com/shop/product/barbour-mens-henry-white-tattersall-check-oxford-shirt?ID=5774782&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D36,$99.00
73, Barbour Men's Jeff Dark Blue Plaid Oxford Shirt,https://www.macys.com/shop/product/barbour-mens-jeff-dark-blue-plaid-oxford-shirt?ID=5774789&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D37,https://www.macys.com/shop/product/barbour-mens-jeff-dark-blue-plaid-oxford-shirt?ID=5774789&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D37,$99.00
74, Brooks Brothers Red Fleece Men's Slim-Fit Oxford Shirt,https://www.macys.com/shop/product/brooks-brothers-red-fleece-mens-slim-fit-oxford-shirt?ID=5637240&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D38,https://www.macys.com/shop/product/brooks-brothers-red-fleece-mens-slim-fit-oxford-shirt?ID=5637240&CategoryID=20627#fn=GENDER%3DMen%26SIZE%3D%26sp%3D1%26spc%3D71%26ruleId%3D9%26kws%3Doxford%20shirt%26searchPass%3DallMultiMatchWithSpelling%26slotId%3D38,$49.50
